Title,View
"
      Possible to send greeting sticker to blocked users
    ",Steps to reproduce 1. Open any empty chat with a blocked user Current result You are able to send a greeting sticker Expected result The greeting sticker UI is not displayed Device info OnePlus OnePlus…
"
      [VoiceOver] “Reply to your message” is read twice
    ","Steps to reproduce 1. With VoiceOver activated press on a message, which was sent as a reply to another message  Current result VoiceOver reads Reply to your message twice Expected result VoiceOver reads…"
"
      [VoiceOver] Not possible to adjust the volume of a participant in a voice chat
    ",Steps to reproduce 1. In a voice chat open the context menu of a user 2. Tap the area with the volume slider Current result Volume slider is not accessible Expected result Volume slider is accessible…
"
      [VoiceOver] The number of participants in a voice chat is not read
    ",Steps to reproduce 1. Join any voice chat 2. Press the text with the number of members currently in a voice chat Current result VoiceOver doesn't read anything Expected result VoiceOver reads the number…
"
      Prefix/Suffix isn't recognised- creates duplicate contact
    ",Contacts with a suffix in the name creates a separate entry for the telegram contact on the device. Telegram also doesn't sync/recognise/display Prefixes or Suffixes of the name. Steps to reproduce 1.…
"
      Every time I turn off my computer, then I open the computer telegram, its settings are all default and can not be saved like auto media download settings   os : windows 10 20h2  build 1904.804
    ","Every time I turn off my computer, then I open the computer telegram, its settings are all default and can not be saved like auto media download settings os : windows 10 20h2  build 1904.804 Steps to…"
"
      Big Emoji doesn’t work with new emojis
    ",When I send an emoji that was introduced with iOS 13 or newer they aren’t displayed big as they should. Steps to reproduce 1. Go in a chat/group of your Choice 2. go to https://emojipedia.org/emoji-12.0/…
"
      Widgets take up more space than necessary
    ","Widgets that can be added to the home screen take up more space than necessary. This applies to both the 2x2 widget and the 4x2 widget. For the first widget - I want to add an icon for only one user,…"
"
      No unread messages counter on iOS app for chats/channels with new message
    ","There is no unread messages counter on some of the chats and channels which have new messages, even after opening the app and waiting until it stops reading 'connecting' and 'updating' at the top. This…"
"
      Copy link of a message in a private group from thread doesn't show ""This link will only work for members of this chat.""
    ",Related: Same issue on iOS Steps to reproduce 1. Open a thread in a private group 2. Copy the link of one message in the thread Current result The app shows 'Link copied to cliboard' Expected result The…
"
      Incorrect layer opens when forwarding comments
    ",Steps to reproduce 1. Forward a post from a channel with commens enabled to another chat 2. Press the channel name in the forwarded message to return to the channel 3. Open comments of the forwarded post…
"
      Text messages sent while offline are sent in a wrong order
    ","Steps to reproduce 1. Enable airplane mode 2. Send 9 test messages: A, B, C, D, E, F, G, H, I 3. Kill the app from the multitasking 4. Open the app 5. Disable airplane mode Current result Messages are…"
"
      Popup menu appears on another display
    ",I have a multi-monitor setup that looks like this (screenshot attached). Previously I had pretty much the same setup and everything worked fine. But now when I right click on anything in Telegram popup…
"
      Not possible to open the profile of participants in a voice chat if you switched account
    ",Steps to reproduce 1. Have at least 2 accounts logged into the app 2. Join a voice chat with an account 3. Switch another account 4. Try to open the profile of participants in the voice chat Current result…
"
      Infinite spinning on the comment button from channels when the post as been deleted from the discussion group
    ",No issue on iOS and Telegram Desktop Steps to reproduce 1. Post a message in a channel linked to a discussion group 2. Delete the message from the discussion group 3. Tap on Leave a comment button from…
"
      Videos are glitched on Macbook M1
    ",All videos in all chats/groups are glitched no matter is this a preview or opened video. Native MacOS Telegram app. Steps to reproduce 1. Send any video to any chat/group 2. You see a glitched video Device…
"
      The typing box ""slips"" when recording voice with the keyboard open
    ","If the keyboard is open when recording a voice message, the keyboard's number bar disappears and the Telegram's typing box takes its place. Google Translate Steps to reproduce 1. Tap the text box to open…"
"
      Sometimes the ""reply"" sign goes over the text in RTL languages.
    ","After viewing the thread in RTL languages, the ""reply"" sign goes over the text. Steps to reproduce 1. Create a group 2. Click manage group 3. Make '''Chat history for new members''' Visible. It would…"
"
      Channel Voice vs Chat Voice BUG (Present in ""Channel Voice""). Intermittent sound. Random per user.
    ","There seems to be a problem when having a decent amount (40+) of people in a ""Channel Voice' session where many users cannot hear half the people in the Voice Channel session. Alternatively if we host…"
"
      Can’t report users for abuse
    ","Option to report users for sending unsolicited private messages (PMs) has disappeared. I have communicated with another iOS user, and this problem presents on another iOS Telegram app also. I suspect…"
"
      The UI allows to change chat info even if you are admin without the change chat info permission
    ",Related: Similar issue on WebK Steps to reproduce 1. Be an admin of a supergroup without the Change Chat Info permission 2. Open group/channel settings Current result The UI let you to change the chat…
"
      The UI allows to change group info even if you are admin without the change group info permission
    ",Related: Similar issue on WebZ Steps to reproduce 1. Be an admin of a supergroup without the Change Group Info permission 2. Open group settings Current result The UI let you to change the group photo…
"
      Wrong color of robot button
    ","When using a non-default background, the color of robot button is wrong. Steps to reproduce 1. Select a non green color background. 2. Let a bot send you a message with a button 3. The button is still…"
"
      Not possible to delete link preview
    ","There is no possibility to delete content, that was added by link. First added image in issue is how this issue look like in WebZ, second image - WebK. Steps to reproduce 1. Open any chat 2. Add any link…"
"
      .mp4 files can not be send as a Photo/Video
    ",Steps to reproduce 1. Press the paperclip icon > Photo or Video  Current result Not possible to select an .mp4 file Expected result Possible to select an .mp4 file Device info Safari 13.1 (15609.1.20.111.8)…
"
      Video thumbnails are squashed
    ",Steps to reproduce 1. Send a video using WebK Current result The thumbnail preview doesn't have optimal dimentions and appears squashed on other clients. Expected result The thumbnails appears normal…
"
      Incorrect online members counter in groups
    ",The app can show members online even if they're offline. Steps to reproduce Open a group and check the online members amoun in the header. Current result The number of online members is not correct. The…
"
      Animated stickers playback speed is slow
    ","The app experience performance issues when animated stickers are in focus. This causes the playback speed to be below default values.  Device info Telegram Web 1.0, Browser, 5.0 (Windows NT 10.0; Win64;…"
"
      Messages are displayed in shuffle
    ","When I write messages, they are displayed in a shuffle. Below is the old one, above it is new, and the very first message turns out to be the second. Steps to reproduce 1. Go to a chat with a person.…"
"
      Incorrect display
    ","Just switch folders from left to right and again left. Steps to reproduce 1. Open web telegram 2. Switch folders 3. Capture bug :) Device info Telegram Web 1.0, Browser, 5.0 (Linux; Android 10; RMX1901)…"
"
      [Firefox] Unable To Login
    ",I am unable to login as when i do the screen just freezes. Steps to reproduce 1) Login 2) The app freezes
"
      Unseen messages are marked as read
    ",Note that this issue doesn't happen all the time Steps to reproduce 1. Open a chat with several unread messages Current result When the chat opens messages which appear on the screen and some messages…
"
      The UI shows the possibility to add your Saved Messages during the creation of groups and channels
    ",Steps to reproduce 1. Create a new group/channel Current result Your saved messages is visible in the Add members list Expected result Your saved messages is not visible in the Add members list
"
      Group voice chat connecting with proxy
    ","Hello, There's a problem in connecting to group voice chats in censored countries like China and Iran. It stuck in connecting section with proxy. (Channels are fine, the problem affects only groups) Steps…"
"
      Photos Open In mac os with two or more monitors
    ","The point is, you need to connect to two monitors (different resolution). After that, open telegram on one of them. And just open any picture. After that, move the telegram window to the other monitor.…"
"
      Profile photos and group photos do not appear.
    ","Profile photos and group photos do not appear. Steps to reproduce . Device info Telegram Web 0.4.1, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128…"
"
      Message preview setting
    ",The message preview setting in the webk app applies globally to all telegram apps. If message preview is disabled in webk it carries over to the android version of the app as well. The old web version…
"
      Background image resetting when Dark Mode is turned on
    ","When toggling on the dark mode on Telegram WebZ, the background chat image disappears, back to the blurry green-ish default. Same happens if you use a third party CSS changer such as Dark Reader extension…"
"
      Can’t access saved messages without internet
    ","Hello! When I try to go to my saved messages without an Internet connection, there is nothing there. Messages in Favorites only appear when connected to the Internet. Can you tell the telegram team about…"
"
      Unfriendly 'Archive' swipe action inside a folder with archived chats not excluded
    ",Steps to reproduce 1. Select 'Archive' as action for Chat list view in Chat Settings. 2. Go to a folder with 'Archived' not excluded. 3. Swipe on a chat and choose Archive. Current result After choosing…
"
      Cannot change Admin rights or add a new Admin with a spam banned account
    ","Cannot edit Admin rights or add new Administrator with a spam banned account. Steps to reproduce Using an account that has a spam ban 1. Go to a group where you are the owner or have the ""Add new admins""…"
"
      Bluetooth audio output broken
    ",When iPhone is connected to car bluetooth audio and simultaneously to Apple Airpods (possibly any other bluetooth headphones) it is impossible to switch audio streaming channel for incoming call and any…
"
      Messages sent in groups are shown as received
    ",Steps to reproduce 1. Send a message in a group Current result The message is shown as an incoming message (aligned to the left) Expected result The message is shown as an outgoing message. We need your…
"
      Auto-delete icon is present on profiles when you open them from groups
    ",Steps to reproduce 1. Set an auto-delete timer with someone in a private chat 2. Open his profile from a group Current result The auto-delete icon is present from the profile Expected result The auto…
"
      A ripple is shown when you tap between ""Calls"" and ""Badge Counter"" from notifications settings
    ",Steps to reproduce 1. Go to Settings > Notifications and Sounds 2. Tap on the empty space between Calls and Badge Counter Current result A ripple is shown Expected result There is no ripple Device info…
"
      Forward multiple files to a chat doesn't show them as album
    ",No issue on Telegram Desktop Workaround Reopen the chat Steps to reproduce 1. Select multiple files 2. Forward them to any chat Current result Sender doesn't see files as album. Hence when he tries to…
"
      Not connecting calls and Voice chats ,when using MTProto proxies
    ",We can't use Calls & Voice chat with MTProto Proxies! because it couldn't establish connection. Please Resolve this issue. we can't use VPN all the time in Restricted Countries for Call service or Voice…
"
      Notification disappeared Chromium OS
    ","If I will not near the computer and miss the notification, I will not come to know about new message till open an app. Steps to reproduce 1. Message arrived. 2. Notification appeared and disappeared after…"
"
      Cannot delete message from privates groups or private diffusion chats
    ",When I try to delete a chat from a group or diffusion chat it does nothing. I am even an admin of those groups. In the android apk it works. Steps to reproduce 1- Go to any private group 2- Insert at…
"
      Expected behavior: Desktop notification only if i am not on the Telegram tab.
    ","Start a chat with a friend. At that moment ask someone else to write to you, you will notice that the desktop notification annoys or gets in the way of your chat.Expected behavior: While you are chatting…"
"
      Secret chat isn't deleted for the other side if you delete it while offline and then the app is restarted
    ","After choosing to delete a secret chat for both sides being offline and then restarting the app, the secret chat won't be deleted for the other side after coming online and opening the app again. Steps…"
"
      Notification disorganized on Android
    ","As you can see, the organization of notifications in the official telegram app is completely disorganized. In the telegram x app, the categories are much more organized and work perfectly. This I think…"
"
      Static text in timestamps is surrounded by single quotes
    ","Date/time localization on WebZ is quoting words when it shouldn't, see screenshots. Affected languages seem to be Brazilian Portuguese, German, Spanish, and possibly Korean and Uzbek. Steps to reproduce…"
"
      notification
    ","i have a problem with notification in a telegram notification after update of 26 april, when i reach a message i can not hear sound and see a notification on the pc, pls can fix? Steps to reproduce 1…"
"
      Telegram Web K: ""Privacy and security"" menu goes blank
    ","Telegram Web K > Menu > Settings > Privacy and security > blank screen! Steps to reproduce Follow the previous path Device info Telegram WebK 0.4.3, Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:68.0)…"
"
      The app opens a separate tab when clicking on notification
    ","When you click on a push notification, the app makes a new tab to appear, even if there is an already existing tab of the WebZ app. Steps to reproduce 1. Open telegram in a new tab 2. Wait for notification…"
"
      Telegram WebK is not work as web application for opening links ""tg"" type
    ","Telegram WebK do not work as web applications for the tg:// protocol Steps to reproduce 1. Open a link to a channel or Telegram contact in the browser 2. Click on ""Join Channel"" or ""Send message"" 3. In…"
"
      URL highlighting not working in darkmode
    ","URL highlighting is not working when darkmode is enabled. Steps to reproduce 1. Login into https://webz.telegram.org/ 2. Click on ""Open Menu"" 3. Click on ""Dark Mode"" Device info Telegram WebZ 1.0, Browser…"
"
      Issue with videos watching because of Telegram servers lags
    ","I have issue with videos download. When I trying to download some videos I got lags and errors like this: MTP Error: could not find request dc for delayed resend, requestId 3251 MTP Error: Socket not…"
"
      iOS switching speaker issue
    ","Hello there, the main problem is inconsistent strategy of ""output device"" choise. There is no only one bug or trouble with output device, but such big amount. There are only separate cases: 1) You have…"
"
      [Folders] Pressing ESC when chat is closed should return you to the “All Chats” tab
    ","Related: Same issue in WebK When using folders, you should be returned to the “All Chats” tab when pressing the Esc key and the chat is closed (first Esc). TDesktop and macOS apps have this behavior Steps…"
"
      Advanced Forward
    ",Why Telegram X and Unofficial telegrams has advanced forwards but the main Telegram does not have advanced forwards? This is the only reason why more people use the unofficial versions of Telegram.People's…
"
      Onion Browser issue
    ","When I try to login through Onion Browser using silver and gold protection, it shows me this loading circle and that’s it. Bronze works, but it is not private. Web and WebK even don’t work with Onion…"
"
      Notification sounds
    ","I have enabled notifications in both webk and webz telegram clients, but when notification appear, I don't hear any notification sounds, I don't know if this is a bug or not, but anyway it would be great…"
"
      Calls are being notified as message notifications, instead of actual calls
    ","Operating System: LineageOS 16.0 Extra configuration: - Do Not Disturb mode is enabled with time rules to be enabled/disabled automatically - Do Not Disturb is configured to let calls through, but block…"
"
      The date on previous days chats is in the wrong format for my location
    ",The date listed on the right of the user/group chats is in the wrong format for America. It should be mm/dd/yy. It is correct in the active chat windows when you scroll back to previous days. I do not…
"
      Small height images can only by sent as files
    ","Small height images can only by sent as files Steps to reproduce 1. Go to any chat. 2. Paste or upload an image with a small height. 3. It is sent as a file, regardless of your choice (without compression…"
"
      WebZ forgetting login sessions / configurations
    ","Firefox (88.0 64bit up-to-date) on a company managed Win10 machine.  WebZ is not keeping information across Sessions, including Login. This means every time a new tab is opened (even without Restart of…"
"
      Add emojis on send photo window
    ","When I try to send a photo using Telegram WebK, a new window opens up showing the photo's preview and a text box for adding a caption. On this text box there is no option to add an emoji, so if you want…"
"
      When making a language change to Spanish there are parts of the site that remain in English
    ","When I change the site language to Spanish, there are parts that are not translated and it stays in English Steps to reproduce Step 1: go to Telegram WEBK, IMPORTANT THAT IT IS ON WEBKStep 2: change the…"
"
      Allow to close current chat
    ","When a chat is open, new messages are displayed directly, and if I'm not looking, then I might miss them (and possibly they are even showed as ""read"" when I didn't) In  the old web client, I could press…"
"
      Play/Pause buttons are incorrectly shown in notifications center while listening a music
    ","Steps to reproduce 1. Open Telegram and play a music file 2. Pause it 3. Open Notifications Center Current result The Pause button is shown in notifications, even if the music is already paused.  If you…"
"
      Receiving notifications (top bar small 1) although I am no longer in the group. 
    ","I receive notifications (top bar small 1) although I am no longer in the group. It is a chat to a news page, which is why the one keeps appearing. When I click on it, the group disappears immediately…"
"
      Notification doesn't show the name of the contact and the message on samsung smartphones
    ","There is this problem on the notifications of samsung smartphones, activating the ""notification brief"" (which is activated by default anyway) the notifications do not show the name and the message. Only…"
"
      Contacts aren't synced, I can't see my Telegram using contacts.
    ","Hello, I haven't been able to view my contacts for a while. I know they are using Telegram, but my problem has not solved. I repeatedly synced my contacts, switched devices and messaged to volunteer support.…"
"
      Some Unpin problems
    ",1) Unpinning one post does not update state (message still show) 2) When Unpin All Messages in channel we see buttons overlap with classnames: bubble-beside-button forward and bubble-beside-button goto…
"
      Progress on sharing picture is lost when resizing the window
    ","When using Telegram in split-screen mode, if start sharing a picture, draw something onto it, and then resize the window, it kicks me back out to the main conversation screen, and everything I've drawn…"
"
      Buggy voice chats
    ","Voice calls are very buggy, often i see people in call but then i realize that i'm speaking alone... Steps to reproduce 1. Go to any public group 2. See someone in call 3. Tap on call bar 4. Join into…"
"
      Incoming audio switches to the main speaker when switching from audio to video call
    ","When I start an audio call and later switch to video, incoming audio switches to the speaker even when the headset is already connected. I have to manually switch back to the connected headset. The problem…"
"
      Number of members doesn't shown properly
    ",The number of members in a group which have members > 999 doesn't show properly in telegram webk. I think it is due to the hidden coma for larger numbers. Hope this small bug will fix soon. Thanks Steps…
"
      Incorrect message order sending on Opera
    ","When I send several messages they're sent by incorrect order Steps to reproduce 1. Go to any chat 2. Send message 'first' Device info Telegram WebZ 1.0, Browser, 1.0"
"
      Volume chat
    ","When listening to an audio and changing volume using the hardaware buttons, the volume being changed it's the ""call volume"" and not the ""music volume"", therefore the volume of the actual audio does not…"
"
      When a chat is open, every message is immediately marked as read
    ","When a chat is open, every message is immediately marked as read, even if you are not even at the PC. With the old web app, it was only marked as read when you moved the mouse in the window or when you…"
"
      Polls percentage count bug
    ","When I revoke my vote in poll and choose another variant, percentage counter broke math law Steps to reproduce 1) Go to private group 2) Find old poll (today's, but earlier) 3) Revoke my vote 4) Choose…"
"
      Lagging during video calls
    ","When i do video call the video become lag after some time for me and other person , it feels slow and lagging even at strong network, and i tried other apps its feel lag free and seamless video calls.…"
"
      [Intel chip] Enabling camera crashing Telegram on MacOS High Sierra
    ","When my camera is activated on a video call, the application crashes. I've noticed that disabling the camera actually stops the application crashing. The other person on the call can still hear and see…"
"
      Channels: Comments do not work on forwarded inline video
    ","Forwarded messages to channels that are ONLY inline video, do not allow comments, when comments work normally on every other kind of channel content. Steps to reproduce 1. Be an admin / owner of any public…"
"
      Claims sent to Spam Info Bot have no answer
    ","Spam Info Bot is not working. I sent already 6 claims during a two moth period on russian and english languages, nobody answer me :-/ Steps to reproduce Open @SpamBot. Write ""/start"", ""This is mistake""…"
"
      auto log out
    ","My telegram web auto log out every time i close my browser. It never happens in older version. But after I update to latest version of telegram web, it keeps log out on its own. Now, I have to log in…"
"
      BotFather bugs
    ","botfather says that the ""About"" text can't contain line breaks, but it can Steps to reproduce 1. create a new bot in @BotFather 2. set ""About"" text with line breaks 3. profit Screenshots"
"
      nightMode
    ","In the night theme, the highlighted messages are not visible, especially if you follow the link in the reply, the black frame on the black background is not visible. Steps to reproduce 1) Enable night…"
"
      Group voice chat options menu overflow on Android
    ","In group voice chat, on Android client, admin option menu overflow under the screen Steps to reproduce 1. Start a group voice chat as admin 2. At least another user must enter voice group 3. Click on…"
"
      Not possible to insert emoticons in webk.telegram.org
    ","If I try to insert an emoticon it simply doesn't do anything :D as you can see from the video Steps to reproduce 1. Go to any chat (group or personal chat) 2. Tap the ""box"" to write 3. Try to insert an…"
"
      Single quotes for literal text in translated strings with dates should be omitted
    ","Steps to reproduce 1. Change the app's language to Spanish 2. Go to a chat and navigate the previous history until the floating date shows the date in absolute format (dd mm, yy)   Current result Date…"
"
      blurry font on win10 and HP 22es monitor (125% default scale)
    ",All text in contact list and messages are blurry. This bug only webz and webk. And haven`t in any other sites and https://web.telegram.org Steps to reproduce Load app and u have it Device info Telegram…
"
      Differentiate between ""Copy Link"" and ""Copy Message Link""
    ","When you right click on the message you see a context menu with two different actions named in the same way: ""Copy Link"". That is very confusing. Please rename on of the ""Copy link"" to something like…"
"
      uncompleted downloading file
    ",when i download the file suddenly after half file was about to finish its crash like that saying could not be completed Steps to reproduce 1.go to channel 2. select any file 3. donwload the file 4.its…
"
      Search is not working
    ","My global search is not working properly Steps to reproduce when i go to any public group it doesn't show anything Device info Telegram Android 7.7.2 (22937), Xiaomi Redmi 5A, 8.1 O MR1 (27)"
"
      Facebook video preview problem
    ",When I send a video link from Facebook the app doesn't show preview or play button. Steps to reproduce 1. Copy link any Facebook video. 2. Send it to someone 3. It doesn't show preview Device info Telegram…
"
      Large images sent as files have crappy quality
    ",When using the official android client the image quality is lower than the actual source (image sent as document). Opening the same image (downloaded from the sent media) from other apps works just fine…
"
      Account blocked when no one has blocked it
    ","I created a new account and I saw it blocked from one of my contacts in the first few minutes. That contact doesn't have my new number and I created the account right away, so how could my account have…"
"
      Video call encryption emoji missing
    ","Sometimes during video calls on Android devices, the four emojis meant to guarantee encryption does not get displayed. It happens on both the sides. Does that mean there was a man in the middle attack…"
"
      Discussbot not working properly
    ","Steps to reproduce 1. In a channel that has Discussbot enabled, press on the Add a comment button. Current result The webpage seems to be broken; the style appears to be missing, and a confirmation dialog…"
"
      Android gesture control and image crop conflict
    ","Android's ""back"" button is triggered when trying to crop an image. So annoying :( Steps to reproduce 1. Turn on gesture control on an android device. 2. Navigate to any chat. 3. Select any photo to share.…"
"
      Can't promote admin in my own groups
    ","I owner of few telegram groups, but I can't promote admin in my own groups anymore. Every time I see messages: ""Sorry, you are not allowed to do this"" (mobile app) or ""Could not add user. Please try again…"
"
      Idle webk sessions mark messages as read
    ",Idle webk sessions mark messages as read Steps to reproduce I run a webk browser session in a computer running in a datacenter that I access using RDP (it's a Linux box using xorgxrdp). I've noticed that…
"
      Replying to a channel post in comments forwards the message in the connected group
    ",Steps to reproduce 1. Go to a channel connected to a group 2. Open comment section 3. Write a message in reply to the post Current result The channel post is forwarded to the connected group and the message…
"
      YouTube Music
    ",YouTube Music doesn't show correct previews. It just shows one preview as default for all music.youtube.com links. This issue is present from a long time. Steps to reproduce 1. Go to music.youtube.com…
"
      New Web Interface (on Chromebook) Auto-logs User Out from ALL Devices
    ","With the new web interface upgrade, I am being automatically logged out from all devices. Steps to reproduce as soon as the new upgrade took place, i was auto logged out. Once I logged back in, same problem…"
"
      pdf files are not downloaded in the web version
    ","When you try to download a pdf file in the web version, the download itself does not occur, a new window opens with, probably, the page code. Steps to reproduce 1. Get a pdf file from the contact. 2.…"
"
      all chats with mute icon in WebZ
    ","In telegram Web (z version) all my chats have ""mute"" icon, despite the fact that only two of them are really muted. In ""k"" version everything alright. Steps to reproduce 1) open telegram web (z version)…"
"
      can't send images
    ","the iamges never send from web user Steps to reproduce 1. send image to other user Device info Telegram Web 0.5.6 K, Firefox 89"
"
      Messages displayed in wrong order. Looks like it has sorting by minute only.
    ",Messages displayed in wrong order. Looks like it has sorting only by minutes.  So last message u type could go up within last minute in chat window. Steps to reproduce Steps: 1 Type more then 1 message…
"
      notifications message preview
    ","Also if I've disabled Message Preview for Private Chats, Groups and Channels, the message notifications still will show the content of the message... so if I'm sharing my screen with someone he/she is…"
"
      in the new web version, I cannot download several videos at same time
    ","I need to go into the video, and only then, try to download it. I tried several times, and was not successful Steps to reproduce I go into the video. I have to click into the video, to be able to download…"
"
      emoji window closes alone
    ","The emoji menu closes right after it opens. Steps to reproduce 1. Click on the emoji button. 2. The Emoji menu opens and then imediatly closes. Device info Telegram Web 1.0.12 Z, Unknown"
"
      New version Telegram won't work
    ","If I try to login in https://web.telegram.org/z/ says chat is empty, if in https://web.telegram.org/k/ waiting for network Steps to reproduce 1. Open and login in https://web.telegram.org/z/ or https…"
"
      responsive
    ",My telegram is not responsive at all. I assume that in private and business usage. It would be perfect if the app can fit with the window size. Thanks a lot Steps to reproduce 1. Go to telegram 2. Change…
"
      not refreshing
    ",New messages are not appearing on my web telegram. Only if I close the tab and open it again. Even my own messages are not showing. I know has new messages because of the notifications on my phone. Steps…
"
      ""K"" web version. Choosing some emojis override the entire message.
    ","Steps to reproduce: 1) Write any message 2) Start writing :hello 3) Choose the second emoji 4) Observe entire message lost 5) Close this piece of shit, use mobile instead Steps to reproduce Also annoyed…"
"
      Recently used emoji sorted while using, causes wrong emoji to be clicked
    ","The ""Frequently Used"" emoji list sort the emoji's while iam using them. So if want to use the 2nd emoji(eg 🙈) more than once. Scenario: 1. Click on the 2nd emoji in """"Frequently Used"" 2. click on it multiple…"
"
      Can't login from Telegram X - no support for QR code in Telegram X
    ","Well, your Telegram X doesn't support QR-code login. I don't want to instal Telegram alogside Telegram X just to login with QR Steps to reproduce 1) Try to login with QR code to Telegram WebZ from Telegram…"
"
      Global search filter labels don't adjust when the app's language is changed
    ","When I change the app language, the labels of the filters of the global search remain in the old language, until the app is restarted. Steps to reproduce 1. Open settings 2. Change language 3. Close settings…"
"
      QR log in not working in dark mode
    ",in webk and webz the QR log in doesn't work in dark mode (if the browser is in dark mode) because the QR will be in white and phones read the black part of the QR code Steps to reproduce 1. Change your…
"
      Very laggy and runs slow in night mode's animated background feature
    ",After updated the new version 7.8.0 (2360) when i am trying to use animated chat background feature in night mode my telegram apk runs slowy and very laggy in groups channels and private chats also. …
"
      Photos are not saved in Gallery when ""Save to Gallery"" is enabled (SD card)
    ","When the storage path is on the SD card I enable ""Save to Gallery"" in ""Chat Settings"";  The photo I download will not be saved in the gallery Steps to reproduce 1. Place the Telegram storage path on the…"
"
      deleted accounts shown
    ","After typing a message in a group, I will see other accounts as being ""deleted accounts"". Additionally, my contact list that appears on the left will become truncated. This issue is only resolved when…"
"
      Do not disturb mode doesn't work on Android. Notifications don't ring if DND mode is enabled
    ","Do not disturb doesn't work. Notifications don't ring if DND mode is enabled Steps to reproduce On Telegram, Settings, Notifications and Sounds, Importance, Urgent On Android, Do Not Disturb Device info…"
"
      Switch video input source on Linux desktop app
    ",When on video calls (on Linux desktop app) I cant change the default video input source. (default: /dev/video0 ) Steps to reproduce 1. Start a call with more than one video input source. (two webcams)…
"
      URLs with apostrophe in them are not correctly parsed.
    ",If a URL has an apostrophe in it then the URL matching stops at the apostrophe and the rest of the URL is ignored. This creates a broken link from an otherwise perfectly valid URL. Apostrophes are legal…
"
      we cant save gifs
    ",there is no button to save gifs
"
      1.No notification sounds in WEB
    ","No notification sounds in WEB Steps to reproduce No notification sounds in WEB Device info Telegram Web 0.7.0, Chrome 89"
"
      Photo and video not cancelling by pressing cancel sending.
    ","When I send a video to any chat and cancel it, it's only disappearing for a few seconds. It will appear back again after few seconds. Steps to reproduce 1.Send an Image or photo 2.Cancel it before it…"
"
      cannot record video chat for ios
    ",i cannot record video chat on ios phone Steps to reproduce 1 go to group 2. start voice chat 3. start video chat 4. start recording 4. video doesn’t record nor is saved to any folder Device info Telegram…
"
      Telegram client does not detect when bot is setting or deleting user commands
    ","With the recent Bot API changes that allow to specify commands based on a scope, Telegram client doesn't detect it when user is setting or deleting those commands Steps to reproduce Example: user presses…"
"
      cannot login by calling number
    ","Telegram by STEL do not calling my number. so i do not receiving code for access or regestering to platform. even in TelegramDesktopPortable and WebOgram encountered this bug, by app with some obtain…"
"
      [Deleted number] has joined Telegram! (Notifications for old contacts)
    ","I received a notification that someone (from my contacts) joined Telegram. However, that person's phone number is deleted from my phone's contact list since AGES. Steps to reproduce 1. Delete phone number…"
"
      Audio switching problem during video call connected with earphone but it switches if we turn off and again turn on our video.
    ",When we turn off our video during video call wearing an earphone and again turn on our video then the voice mode automatically switches to speaker mode from the earphone. The voice comes out from the…
"
      Sometimes when sending an gif it gets stuck at loading. Switichg between chats resolves the issue
    ","Sometimes when sending an gif it gets stuck at loading (froozen + loading icon). Switching between chats resolves the issue Steps to reproduce 1. Send a gif 2. Sometimes, the first time i start the app…"
"
      Settings don't loaded from the cloud
    ","When page is reloaded all settings returns to default values Steps to reproduce 1. Set any settings in web version or in other app, for example ""auto load for gif and media"" 2. Reload the web version…"
"
      Unpinning
    ",Unpin button in group chats is not working Steps to reproduce 1. Open web version 2. Go to any group chat 3. Pin some post 4. Try to unpin it 5. You can see it's still pinned Device info Telegram Web…
"
      Video-Voice and vice-versa enables speaker over earphones
    ","When switching from voice to video call or vice-versa during the call while using earphones, it changes to speaker Steps to reproduce 1. Call someone on Telegram Android (use earphones) 2. switch from…"
"
      Black bar in text on edited image
    ","When editing an image and adding text to it, the black bar after text keeps blinking and shows up in the sent image Steps to reproduce 1.go to any chat 2. Select the paperclip icon 3. Select an image…"
"
      Default font
    ","Default font changes to monspace, and all settings no one field to change him. System font changes no effect to app. Steps to reproduce 1. Update to beta-version 2.8.8 2. See monospace Device info Telegram…"
"
      Keyboard minimizes when trying to send message
    ","When you are in a chat and send a sticker, then you enter a text message, and then press the send button next to the text entry field it will minimize the keyboard instead of sending the message as though…"
"
      Problem with contacts
    ","Telegram has detected many unsynced contacts, would you like to sync them now? Choose 'OK' if you're using your own device...' ​ I tap 'OK'. Nothing happens. ​ And when I keep opening Telegram again,…"
"
      Bug with pinning a lot of messages
    ",When I did try to pin more than 15 messages it did not allow me to do this (click on PIN button does nothing). Moreover when I unpinned all the messages I'm still not able to pin any messages anymore…
"
      Bad contrast in Day/Night themes' buttons due to the lack of background
    ",Default Day/Night themes' buttons and indicators lack background or are too transparent. Steps to reproduce * Go to Settings > Appearance > Choose Day or Night theme Current result  Date indicator is…
"
      My microphone is muted, but it shows my mic is unmuted
    ","This happens when I mute the microphone when speaking loudly. After this happens, when I unmute the microphone and then mute it again, this bug still does not fix. I have to leave Voice Chat then join…"
